intensity,name,signal,start_date,start_time,end_date,end_time,duration
颱風,無名,1,1946/07/16,16:10 夏,1946/07/17,12:15 夏,20 05
颱風,無名,8 東北,1946/07/17,12:15 夏,1946/07/18,11:30 夏,23 15
颱風,無名,9,1946/07/18,11:30 夏,1946/07/18,15:15 夏,03 45
颱風,無名,10,1946/07/18,15:15 夏,1946/07/18,20:00 夏,04 45
颱風,無名,8 東南,1946/07/18,20:00 夏,1946/07/18,22:00 夏,02 00
颱風,無名,1,1946/08/29,01:00 夏,1946/08/29,12:40 夏,11 40
颱風,無名,1,1946/09/06,17:30 夏,1946/09/07,07:00 夏,13 30
颱風,無名,8 東南,1946/09/07,07:00 夏,1946/09/07,11:40 夏,04 40
颱風,無名,1,1946/09/11,09:20 夏,1946/09/12,14:05 夏,28 45
颱風,無名,1,1946/09/25,12:35 夏,1946/09/26,05:40 夏,17 05
颱風,無名,1,1946/10/13,09:40 夏,1946/10/13,18:15 夏,08 35
颱風,無名,8 西北,1946/10/13,18:15 夏,1946/10/14,06:00 夏,11 45
颱風,無名,1,1946/10/14,06:00 夏,1946/10/14,10:20 夏,04 20
颱風,嘉露,1,1947/06/21,20:20 夏,1947/06/22,07:40 夏,11 20
熱帶低氣壓,無名,1,1947/07/18,15:35 夏,1947/07/19,10:30 夏,18 55
颱風,茵納絲,1,1947/08/29,09:45 夏,1947/08/30,08:30 夏,22 45
颱風,美德莉,1,1947/09/25,04:10 夏,1947/09/25,11:40 夏,07 30
颱風,無名,1,1947/10/02,07:10 夏,1947/10/03,10:20 夏,27 10
颱風,葆蓮,1,1947/10/06,16:30 夏,1947/10/07,00:15 夏,07 45
颱風,葆蓮,8 東北,1947/10/07,00:15 夏,1947/10/07,16:00 夏,15 45
颱風,葆蓮,8 西北,1947/10/07,16:00 夏,1947/10/08,05:00 夏,13 00
颱風(強颱風),無名,1,1948/07/22,15:45 夏,1948/07/22,22:40 夏,06 55
颱風(強颱風),無名,8 東北,1948/07/22,22:40 夏,1948/07/23,06:00 夏,07 20
颱風(強颱風),無名,1,1948/07/23,06:00 夏,1948/07/23,12:15 夏,06 15
颱風,露絲,1,1948/07/27,04:50 夏,1948/07/27,09:00 夏,04 10
颱風,露絲,8 東北,1948/07/27,09:00 夏,1948/07/27,15:20 夏,06 20
